Domain|Domain|Name|Kind|Title|Default Value|CTwoCat|CTwoId|Implementation|Description|Remarks|Parent Req|ValSet|Owner|Rationale
BAS|AP-BAS|1|SPC|Initialization Check in Initialization Procedure of Base Component|Always returns: 'check successful'|0|0|The Base Component is not available for direct use by application developers. This Adaptation Point is therefore not directly supported by the C2 Implementation but, where required, is supported by components which are derived from the Base Component.|||BAS:2|Default|pasetti|
BAS|AP-BAS|2|SPC|Initialization Action in Initialization Procedure of Base Component|Do nothing and return: 'action successful'|0|0|The Base Component is not available for direct use by application developers. This Adaptation Point is therefore not directly supported by the C2 Implementation but, where required, is supported by components which are derived from the Base Component.|||BAS:2|Default|pasetti|
BAS|AP-BAS|3|SPC|Configuration Check in Reset Procedure of Base Component|Always returns: 'check successful'|0|0|The Base Component is not available for direct use by application developers. This Adaptation Point is therefore not directly supported by the C2 Implementation but, where required, is supported by components which are derived from the Base Component.|||BAS:2|Default|pasetti|
BAS|AP-BAS|4|SPC|Configuration Action in Reset Procedure of Base Component|Do nothing and return: 'action successful'|0|0|The Base Component is not available for direct use by application developers. This Adaptation Point is therefore not directly supported by the C2 Implementation but, where required, is supported by components which are derived from the Base Component.|||BAS:2|Default|pasetti|
BAS|AP-BAS|5|SPC|Shutdown Action of Base Component|Do nothing|0|0|The Base Component is not available for direct use by application developers. This Adaptation Point is therefore not directly supported by the C2 Implementation but, where required, is supported by components which are derived from the Base Component.|||BAS:2|Default|pasetti|
BAS|AP-BAS|6|SPC|Execution Procedure of Base Component|Do the same dummy action (return without doing anything) whenever the procedure is executed|0|0|The Base Component is not available for direct use by application developers. This Adaptation Point is therefore not directly supported by the C2 Implementation but, where required, is supported by components which are derived from the Base Component.|||BAS:2|Default|pasetti|
C2-CST|C2-CST|1|IMP|Identifier of Host Application|0|C2-CST|1|\texttt{\#DEFINE} constant in \texttt{CrFwUserConstants.h}||||Default|pasetti|
C2-CST|C2-CST|2|IMP|Range of Service Type, Sub-Type and Discriminants for InCommands and InReports|0|C2-CST|2|\texttt{\#DEFINE} constants in \texttt{CrFwUserConstants.h}||||Default|pasetti|
AST|AP-AST|1|SPC|Application Start-Up Procedure|No default provided at framework level|C2-AST|1|Implementation of \texttt{CrFwAppStartUpProc.h}. Only a test stub is provided as default at framework level.|||AST:2|Default|pasetti|
AST|AP-AST|2|SPC|Application Reset Procedure|No default provided at framework level|C2-AST|2|Implementation of \texttt{CrFwAppResetProc.h}. Only a test stub is provided as default at framework level.|||AST:2|Default|pasetti|
AST|AP-AST|3|SPC|Application Shutdown Procedure|No default provided at framework level|C2-AST|3|Implementation of \texttt{CrFwAppShutdownProc.h}. Only a test stub is provided as default at framework level.|||AST:2|Default|pasetti|
AST|AP-AST|4|SPC|State Machine Embedded in state START\_UP of Application State Machine|No state machine embedded in state START\_UP|C2-AST|4|\texttt{\#DEFINE} constant in \texttt{CrFwAppSmUserPar.h}|||AST:2|Default|pasetti|
AST|AP-AST|5|SPC|State Machine Embedded in state NORMAL of Application State Machine|No state machine embedded in state NORMAL|C2-AST|5|\texttt{\#DEFINE} constant in \texttt{CrFwAppSmUserPar.h}|||AST:2|Default|pasetti|
AST|AP-AST|6|SPC|State Machine Embedded in state RESET of Application State Machine|No state machine embedded in state RESET|C2-AST|6|\texttt{\#DEFINE} constant in \texttt{CrFwAppSmUserPar.h}|||AST:2|Default|pasetti|
AST|AP-AST|7|SPC|State Machine Embedded in state SHUTDOWN of Application State Machine|No state machine embedded in state SHUTDOWN|C2-AST|7|\texttt{\#DEFINE} constant in \texttt{CrFwAppSmUserPar.h}|||AST:2|Default|pasetti|
FAC|AP-FAC|1|SPC|\texttt{Make} Operation to dynamically instantiate a component|No default provided at framework level|0|0|The only components which can be instantiated dynamically are report and command components. Their \texttt{make} operations are implemented in full (see \texttt{CrFwInFactoryMake*} and \texttt{CrFwOutFactoryMakeOutCmp} functions). This adaptation point is therefore closed by the C2 Implementation.|||FAC:5|Default|pasetti|
FAC|AP-FAC|2|SPC|\texttt{Release} Operation to dynamically release a component|No default provided at framework level|0|0|The only components which can be released  dynamically are report and command components. Their \texttt{release} operations are implemented in full (see \texttt{CrFwInFactoryRelease*} and \texttt{CrFwOutFactoryReleaseOutCmp} functions). This adaptation point is therefore closed by the C2 Implementation.|||FAC:5|Default|pasetti|
C2-PCK|C2-PCK|1|IMP|Operations to Set and Get the Values of Command and Report Attributes in a Packet|0|C2-PCK|1|Implementation of \texttt{CrFwPckt.h}. Only a test stub is provided as default at framework level.||||Default|pasetti|
C2-ERR|C2-ERR|1|IMP|Operations to Report Errors Values of Command and Report Attributes in a Packet|0|C2-ERR|1|Implementation of \texttt{CrFwRepErr.h}. Only a test stub is provided as default at framework level.||||Default|pasetti|
C2-OFA|C2-OFA|1|IMP|OutFactory Capacity |0|C2-OFA|1|\texttt{\#DEFINE} constant in \texttt{CrFwOutFactoryUserPar.h} defines maximum number of OutComponents which can be allocated by the factory.||||Default|pasetti|
C2-OFA|C2-OFA|2|IMP|OutComponent Kinds |0|C2-OFA|2|\texttt{\#DEFINE} constants in \texttt{CrFwOutFactoryUserPar.h} define the kinds of OutComponents supported by the application. An OutComponent kind is defined through its service type, command or report sub-type, and discriminant value. For each supported OutComponent kind, function pointers are defined implementing the OutComponent checks and actions. ||||Default|pasetti|
C2-IFA|C2-IFA|1|IMP|InFactory Capacity for InReports|0|C2-IFA|1|\texttt{\#DEFINE} constant in \texttt{CrFwInFactoryUserPar.h} defines maximum number of InReports which can be allocated by the factory.||||Default|pasetti|
C2-IFA|C2-IFA|2|IMP|InFactory Capacity for InCommands|0|C2-IFA|2|\texttt{\#DEFINE} constant in \texttt{CrFwInFactoryUserPar.h} defines maximum number of InCommands which can be allocated by the factory.||||Default|pasetti|
C2-IFA|C2-IFA|3|IMP|InReport Kinds |0|C2-IFA|3|\texttt{\#DEFINE} constants in \texttt{CrFwInFactoryUserPar.h} define the kinds of InReports supported by the application. An InReport kind is defined through its service type, command or report sub-type, and discriminant value. For each supported InReport kind, function pointers are defined implementing the InReport checks and actions.||||Default|pasetti|
C2-IFA|C2-IFA|4|IMP|InCommand Kinds |0|C2-IFA|4|\texttt{\#DEFINE} constants in \texttt{CrFwInFactoryUserPar.h} define the kinds of InCommands supported by the application. An InCommand kind is defined through its service type, command or report sub-type, and discriminant value. For each supported InCommand kind, function pointers are defined implementing the InCommand checks and actions.||||Default|pasetti|
C2-OST|C2-OST|1|IMP|Number of OutStreams in the Application|0|C2-OST|1|\texttt{\#DEFINE} constant in \texttt{CrFwOutStreamUserPar.h}|||OST:5|Default|pasetti|
OST|AP-OST|1|SPC|Packet Queue Size for OutStream|No value defined at framework level|C2-OST|2|\texttt{\#DEFINE} constant (one for each OutStream in the application) in \texttt{CrFwOutStreamUserPar.h}|||OST:5|Default|pasetti|
C2-OST|C2-OST|3|IMP|Destination associated to OutStream|0|C2-OST|3|\texttt{\#DEFINE} constant (one for each OutStream in the application) in \texttt{CrFwOutStreamUserPar.h}|||OST:5|Default|pasetti|
OST|AP-OST|2|SPC|Initialization Check in Initialization Procedure of OutStream|Returns 'check successful' if the size of the Packet Queue has been set to a positive integer|C2-OST|4|Function pointers (one for each OutStream in the application) in \texttt{CrFwOutStreamUserPar.h}. Default implementation is provided in \texttt{CrFwOutStream.h}..|||OST:5|Default|pasetti|
OST|AP-OST|3|SPC|Initialization Action in Initialization Procedure of OutStream|Allocate resources for Packet Queue and return 'Action Successful' iff the allocation succeeds|C2-OST|5|Function pointers (one for each OutStream in the application) in \texttt{CrFwOutStreamUserPar.h}. Default implementation is provided in \texttt{CrFwOutStream.h}..|||OST:5|Default|pasetti|
OST|AP-OST|4|SPC|Configuration Check in Initialization Procedure of OutStream|Same value as in Base Component|C2-OST|4|Function pointers (one for each OutStream in the application) in \texttt{CrFwOutStreamUserPar.h}. Default implementation is provided in \texttt{CrFwOutStream.h}..|||OST:5|Default|pasetti|
OST|AP-OST|5|SPC|Configuration Action in Reset Procedure of OutStream|Reset the Packet Queue and return 'Action Successful'|C2-OST|6|Function pointers (one for each OutStream in the application) in \texttt{CrFwOutStreamUserPar.h}. Default implementation is provided in \texttt{CrFwOutStream.h}..|||OST:5|Default|pasetti|
OST|AP-OST|6|SPC|Shutdown Action of OutStream|Reset the Packet Queue|C2-OST|7|Function pointers (one for each OutStream in the application) in \texttt{CrFwOutStreamUserPar.h}. Default implementation is provided in \texttt{CrFwOutStream.h}..|||OST:5|Default|pasetti|
OST|AP-OST|7|SPC|Execution Procedure of OutStream (closes BAS-6)|Same value as in Base Component|0|0|This Adaptation Point is closed at framework level.|||OST:5|Default|pasetti|
OST|AP-OST|8|SPC|Packet Hand-Over Operation of OutStream|No value defined at framework level|C2-OST|8|Function pointers (one for each OutStream in the application) in \texttt{CrFwOutStreamUserPar.h}. Only a test stub is provided as default at framework level.|||OST:5|Default|pasetti|
OST|AP-OST|9|SPC|Operation to set Sequence Counter in Outgoing Packets|No value defined at framework level|0|0|Implemented by Adaptation Point C2-PCK-1.|||OST:5|Default|pasetti|
