Domain|Kind|Name|Text|Implementation|Verification|Rationale|Title|Remarks|ValSet|Owner|Ver
BAS|STD|1|All components provided by the CORDET Framework shall implement the behaviour of the Base State Machine of figure \ref{fig:BaseSM}.|The behaviour of the Base State Machine is implemented in \texttt{CrFwBaseCmp}. Each framework component is built around a state machine instance which is derived from the Base State Machine (see section 5 of reference [CR-UM]). State machine derivation is done using the extension mechanism of the C1 Implementation of the FW Profile  which guarantees that the derived state machines have the same behaviour as the base state machine. Framework component are instantiated by Make functions (see section 6.1 of reference [CR-UM]). The creation of their state machine as an extension of the Base State Machine is done in these Make functions.|The behaviour of the Base State Machine is verified in table \ref{tab:verBaseSM}. The behaviour of its two procedures (Initialization Procedure and Reset Procedure) is verified in table \ref{tab:verInitProc} and \ref{tab:verResetProc}). The inheritance of this behaviour by all other framework state machines is guaranteed by the extension mechanism of the FW Profile as it is implemented in the C1 Implementation and by the fact that all framework components are created as extension of a Base State Machine.||||Default|pasetti|REV
BAS|STD|2|The CORDET Framework shall implement an API through which applications can query a CORDET Component for its current state (including, if applicable, its current sub-state).|Only two levels of state machine embedding are used in the C2 Implementation. Query of the outer state (which is a state of the Base State Machine) is provided by functions: \texttt{CrFwCmpIsInCreated}, \texttt{CrFwCmpIsInInitialized} and \texttt{CrFwCmpIsInConfigured}. Embedded states are only embedded in state CONFIGURED and query of this embedded state is provided by functions with names like \texttt{CrFw$\langle$Type$\rangle$IsIn$\langle$State$\rangle$($\langle$Inst$\rangle$)}.|The state query functions are guaranteed to be verified because the Test Suite has 100\% statement coverage.||||Default|pasetti|REV
BAS|CNS|3|All components provided by application developers shall implement the behaviour of the Base State Machine. ||||||Default|pasetti|REV
AST|STD|1|The CORDET Framework shall implement the Application State Machine of figure \ref{fig:ApplicationSM}.|The Application State Machine is implemented in \texttt{CrFwAppSm}. |The behaviour of the Application State Machine is verified in table \ref{tab:verAppSM}. ||||Default|pasetti|REV
AST|AP|2|The Application State Machine shall support the adaptation points AST-*.||||||Default|pasetti|REV
AST|STD|3|The CORDET Framework shall provide an API through which applications can query the Application State Machine for its current state.|This API is provided by functions \texttt{CrFwAppSmIsInStartUp}, \texttt{CrFwAppSmIsInNormal},  \texttt{CrFwAppSmIsInReset} and  \texttt{CrFwAppSmIsInShutdown}.|The state query functions are guaranteed to be verified because the Test Suite has 100\% statement coverage.||||Default|pasetti|REV
AST|CNS|4|The Application Start-Up Procedure shall include the instantiation, initialization and configuration of all components subject to early instantiation.||||||Default|pasetti|REV
AST|CNS|5|The application Start-Up Procedure shall only terminate if all components subject to early instantiation are in state CONFIGURED.||||||Default|pasetti|REV
AST|CNS|6|The Application Reset Procedure shall include the sending of command \texttt{Reset} to all application components.||||||Default|pasetti|REV
AST|CNS|7|The Application Reset Procedure shall only terminate if all application components are in state CONFIGURED.||||||Default|pasetti|REV
AST|CNS|8|The Application Shutdown Procedure shall include the sending of command \texttt{Shutdown} to all application components.||||||Default|pasetti|REV
FAC|STD|1|The factory components shall be provided as extensions of the Base Component.|The InFactory component is created by function \texttt{CrFwInFactoryMake} which creates it as an extension of the Base State Machine. Similarly, OutFactory component is created by function \texttt{CrFwOutFactoryMake} which creates it as an extension of the Base State Machine. |InFactory creation is verified in the test cases in \texttt{CrFwInFactoryTestCase.h} and OutFactory creation is verified in the test cases in \texttt{CrFwOutFactoryTestCase.h}.||||Default|pasetti|REV
