Value|Name|Description|Parameters
1|EVT\_DOWN\_ABORT|Generated by an LPT State Machine when a down-transfer is aborted|LPT State Machine Identifier
1|EVT\_DOWN\_ABORT|Generated by an LPT State Machine when a down-transfer is aborted|LPT State Machine Identifier
1|EVT\_DOWN\_ABORT|Generated by an LPT State Machine when a down-transfer is aborted|LPT State Machine Identifier
1|EVT\_DOWN\_ABORT|Generated by an LPT State Machine when a down-transfer is aborted|LPT State Machine Identifier
1|EVT\_DOWN\_ABORT|Generated by an LPT State Machine when a down-transfer is aborted|LPT State Machine Identifier
2|EVT\_UP\_ABORT|Generated by an LPT State Machine when an up-transfer is aborted|LPT State Machine Identifier
3|EVT\_MON\_LIM\_R|Generated when a Limit Check Monitoring Procedure has detected an invalid parameter value of real type|Identifier of parameter monitor and of monitored data item, sub-status of parameter monitor and last value of data item
4|EVT\_MON\_LIM\_I|Generated when a Limit Check Monitoring Procedure has detected an invalid parameter value of integer type|Identifier of parameter monitor and of monitored data item| sub-status of parameter monitor and last value of data item
5|EVT\_MON\_EXP|Generated when a Expected Value Monitoring Procedure has detected an invalid parameter value of integer type|Identifier of parameter monitor and of monitored data item| sub-status of parameter monitor and last value of data item
6|EVT\_MON\_DEL\_R|Generated when a Delta Check Monitoring Procedure has detected an invalid parameter value of real type|Identifier of parameter monitor and of monitored data item| sub-status of parameter monitor and last value of data item
7|EVT\_MON\_DEL\_I|Generated when a Delta Check Monitoring Procedure has detected an invalid parameter value of integer type|Identifier of parameter monitor and of monitored data item| sub-status of parameter monitor and last value of data item
8|EVT\_FMON\_FAIL|Generated when a functional monitor has declared a failure|Identifiers of parameter monitors associated to the functional monitors and of their checking status
9|EVT\_CLST\_FULL|Generated when the Monitoring Function Procedure tries to add an entry to the Check Transition List but the list is full|None
