Type|Name|Description|APID
TM(1,1)|VerSuccAccRep|Successful Acceptance Verification Report|0x141
TM(1,2)|VerFailedAccRep|Failed Acceptance Verification Report|0x141
TM(1,3)|VerSuccStartRep|Successful Start of Execution Verification Report|0x141
TM(1,4)|VerFailedStartRep|Failed Start of Execution Verification Report|0x141
TM(1,5)|VerSuccPrgrRep|Successful Progress of Execution Verification Report|0x141
TM(1,6)|VerFailedPrgrRep|Failed Progress of Execution Verification Report|0x141
TM(1,7)|VerSuccTermRep|Successful Completion of Execution Verification Report|0x141
TM(1,8)|VerFailedTermRep|Failed Completion of Execution Verification Report|0x141
TM(1,10)|VerFailedRoutingRep|Failed Routing Verification Report|0x141
TC(3,1)|HkCreateHkCmd|Create a Housekeeping Parameter Report Structure|0x14c
TC(3,2)|HkCreateDiagCmd|Create a Diagnostic Parameter Report Structure|0x14c
TC(3,3)|HkDelHkCmd|Delete a Housekeeping Parameter Report Structure|0x14c
TC(3,4)|HkDelDiagCmd|Delete a Diagnostic Parameter Report Structure|0x14c
TC(3,5)|HkEnableHkCmd|Enable Periodic Generation of a Housekeeping Parameter Report Structure|0x14c
TC(3,6)|HkDisableHkCmd|Disable Periodic Generation of a Housekeeping Parameter Report Structure|0x14c
TC(3,7)|HkEnableDiagCmd|Enable Periodic Generation of a Diagnostic Parameter Report Structure|0x14c
TC(3,8)|HkDisableDiagCmd|Disable Periodic Generation of a Diagnostic Parameter Report Structure|0x14c
TC(3,9)|HkRepStructHkCmd|Report Housekeeping Parameter Report Structure|0x14c
TM(3,10)|HkRepStructHkRep|Housekeeping Parameter Report Structure Report|0x141
TC(3,11)|HkRepStructDiagCmd|Report Diagnostic Parameter Report Structure|0x14c
TM(3,12)|HkRepStructDiagRep|Diagnostic Parameter Report Structure Report|0x141
TM(3,25)|HkRep|Housekeeping Parameter Report|0x141
TM(3,26)|HkDiagRep|Diagnostic Parameter Report|0x141
TC(3,27)|HkOneShotHkCmd|Generate One-Shot Report for Housekeeping Parameters|0x14c
TC(3,28)|HkOneShotDiagCmd|Generate One-Shot Report for Diagnostic Parameters|0x14c
