ReqN|ReqTitle|ReqText|Status|Justification||||
5.3.1a|General|Each service type shall be uniquely identified by exactly one service type name.|C1/C2|The service type names and identifiers of pre-defined services are taken from the PUS and the service types names and identifiers of other services are set by the application developers at adaptation point ICM-18 for incoming commands and OCM-7 for out-going reports.||||
b||Each service type shall be uniquely identified by exactly one service type identifier that is an unsigned integer greater than or equal to 1, and less than or equal to 255.|C1/C2|See justification of first requirement in this clause||||
c||Each standard service type shall have a service type identifier less than or equal to 127.|C1/C2|See justification of first requirement in this clause||||
d||Each mission specific service type shall be associated with a service type identifier greater than or equal to 128.|C1/C2|See justification of first requirement in this clause||||
5.3.2a|Subservice Type|Each service type shall define at least one subservice type.|C1/C2|For pre-defined services, the PUS is followed and at least one sub-service is defined. For other services, adaptation points ICM-19 for incoming commands and OCM-8 for out-going reports imply definition of a sub-service for each service.||||
b||Each subservice type shall be defined by exactly one service type.|C1/C2|See justification of first requirement in this clause||||
c||Each subservice type shall be uniquely identified by exactly one subservice type name.|C1/C2|See justification of first requirement in this clause||||
d||For each subservice type, whether the realization of that subservice type is implicitly required for each realization of the service type or required by tailoring shall be declared when specifying that subservice type.|C1|For pre-defined services, dependencies between sub-services are identified and formulated as use constraint requirements.||||
e||For each subservice type, whether multiple realizations of that subservice type are allowed within a single service shall be declared when specifying that subservice type.|NA|This requirement does not concern the implementation of the services and is therefore outside the scope of the PUS Extension of the CORDET Framework (TBC)||||
f||For each subservice type, the observables shall be declared when specifying that subservice type.|C1|A list of observables is provided for each pre-defined service offered by the PUS Extension of the CORDET Framework||||
5.3.3.1a|Message Type|Each message type shall be uniquely identified by exactly one message type name.|C1|The CORDET Framework implements a message as a command or report exchanged between applications and identifies the type of a message through the triplet [type, sub-type, discriminant]. See section 4 of CORDET Framework Definition Document.||||
b||Each message type shall be uniquely identified by exactly one message type identifier.|C1|See justification of first requirement in this clause||||
c||Each message type identifier shall be composed of: \newline 1. the service type identifier of the service type that contains that message type; \newline 2. a message subtype identifier that uniquely identifies that message type within that service type.|C1|See justification of first requirement in this clause||||
d||Each message subtype identifier shall be an unsigned integer greater than or equal to 1, and less than or equal to 255.|C1/C2|For pre-defined services, the command and report types are taken over from the PUS. For other services, they are under the control of the application developer through adaptation points ICM-18, ICM-19, OCM-7 and OCM-8.||||
e||Each standard message type identifier shall have a message subtype identifier less than or equal to 127.|C1/C2|See justification of requirement e in this clause.||||
f||Each mission specific message type that belongs to a standard service type shall have a service subtype identifier greater than or equal to 128.|C1/C2|See justification of requirement e in this clause.||||
g||Each message type shall either be: \newline 1. a request type, or \newline 2. a report type.|C1|See justification of first requirement in this clause||||
