Category,Id,Origin,AP,DefValue
DP,1,Overrides BAS-1,Initialization Check in Initialization Procedure of Data Pool Component,Return 'success' if there are adequate resources for creating the data structures for the data items 
DP,2,Overrides BAS-2,Initialization Action in Initialization Procedure of Data Pool Component,Create the data structures required for the data items and return 'success' if creation was successful
DP,3,Overrides BAS-3,Configuration Check in Reset Procedure of Data Pool Component,Return 'success' if current values of data items can be initialized with their default values in zero logical execution time or else return 'success' if initialization of current value of data items has completed
DP,4,Overrides BAS-4,Configuration Action in Reset Procedure of Data Pool Component,Start initialization of current values of data items with their default values and return 'success' if the initialization has completed
DP,5,Overrides BAS-5,Shutdown Action of Data Pool Component,Same value as in Base Component
DP,6,Overrides BAS-6,Execution Procedure of Data Pool Component,Same value as in Base Component
DP,7,New AP,Definition of Data Items in the Data Pool Component,No default defined at framework level
DP,8,New AP,Operation to access the Current Value of a Data Item,No default defined at framework level
DP,9,New AP,Operation to update the Current Value of a Data Item,No default defined at framework level
PCR,1,Closes OCM-1,Initialization Check in Initialization Procedure of OutComponent,Always returns “check successful”
PCR,2,Closes OCM-2,Initialization Action in Initialization Procedure of OutComponent,Do nothing and return 'action successful'
PCR,3,Closes OCM-3,Configuration Check in Reset Procedure of OutComponent,Always returns “check successful”
PCR,4,Closes OCM-4,Configuration Action in Reset Procedure of OutComponent,Do nothing and return 'action successful'
PCR,5,Closes OCM-5,Shutdown Action in Base Component of OutComponent,Do nothing
PCR,6,Closes OCM-6,Execution Procedure of OutComponent,Do nothing
PCR,7,Closes OCM-7,Service Type Attribute of OutComponent,Set equal to PUS service type
PCR,8,Closes OCM-8,Command/Report Sub-Type Attribute of OutComponent,Set equal to PUS service sub-type
PCR,9,Closes OCM-9,Destination Attribute of OutComponent,See definition of individual reports
PCR,10,Closes OCM-10,Acknowledge Level Attribute of OutComponent,Not relevant to out-going report
PCR,11,Closes OCM-11,Discriminant Attribute of OutComponent,See definition of individual reports
PCR,12,Closes OCM-12,Parameter Attribute of OutComponent,See definition of individual reports
PCR,13,Closes OCM-13,Enable Check Operation of OutComponent,See definition of individual reports
PCR,14,Closes OCM-14,Ready Check Operation of OutComponent,See definition of individual reports
PCR,15,Closes OCM-15,Repeat Check Operation of OutComponent,See definition of individual reports
PCR,16,Closes OCM-16,Update Action of OutComponent,See definition of individual reports
PCR,17,Closes OCM-17,Serialize Operation of OutComponent,Build a packet with the layout specified by the PUS
PCR,18,Closes OCM-18,Operation to Report Invalid Destination of an OutComponent,Generate SNDPCKT\_INV\_DEST Error Report 
PCR,19,Closes ICM-1,Initialization Check in Initialization Procedure of InCommand,Returns “check successful' if information for initializing InCommand using data in incoming packet is valid
PCR,20,Closes ICM-2,Initialization Action in Initialization Procedure of InCommand,Use information in incoming packet to initialize InCommand and return “action successful' 
PCR,21,Closes ICM-3,Configuration Check in Reset Procedure of InCommand,Returns “check successful' if ipacket length and checksum are correct and if command parameters have legal values (the legality checks are specified for each individual command)
