Category,Type,Id,Text,Implementation,Verification
DP,S,1,The PUS Extension of the CORDET Framework shall provide a Data Pool component as an extension of the Base Component,,
DP,A,2,The Data Pool Component shall support the adaptation points specified in table \ref{tab:AP-DP},,
DP,S,3,"When it is configured, the Data Pool Component shall provide operations to let other components access the current value of its data items ",,
DP,S,4,"When it is configured, the Data Pool Component shall provide operations to let other components update the current value of its data items ",,
DP,S,5,Deleted,,
DP,C,5,An application shall instantiate the Data Pool Component only once,,
DP,C,6,An application shall extend the Data Pool Execution Procedure to refresh all data items in the data pool which are not refreshed by other means,,
CRA,S,1,Components encapsulating a command or a report shall implement all attributes defined for them by the PUS,,
CRA,S,2,Components encapsulating a command or a report shall provide operations to access in read and write mode all their PUS-defined attributes,,
CRA,S,3,The PUS Extension of the CORDET Framework shall provide operations to encode and decode any PUS-defined attribute in a packet carrying a command or report,,
CRA,C,4,"If an application sends commands or reports to the same destination with different APIDs, then for each such APID, a CORDET Group shall be defined",,
CRA,C,5,"If an application receives commands or reports from the same source  with different APIDs, then for each such APID, a CORDET group shall be defined",,
FAC,S,1,The PUS Extension of the CORDET Framework shall provide an InFactory component capable of creating an instance of any of the command or report types defined by the framework,,
FAC,S,2,The PUS Extension of the CORDET Framework shall provide an OutFactory component capable of creating an instance of any of the command or report types defined by the framework,,
FAC,S,3,The two factory components shall maintain and make accessible through the data pool the observables listed in table \ref{tab:Obs-FAC},,
PCR,A,1,The InCommand components provided by the PUS Extension of the CORDET Framework shall close the InCommand adaptation points as stated in table \ref{tab:AP-OCM},,
PCR,A,2,The OutComponent components provided by the PUS Extension of the CORDET Framework shall close the OutComponent adaptation points as stated in table \ref{tab:AP-ICM},,
PCR,C,3,Applications shall comply with the service dependencies listed in table \ref{tab:dependencies},,
S1,S,1,"The PUS Extension of the CORDET Framework shall provide, as an extension of the OutComponent, a ReqVerRep component to encapsulate a service 1 report",,
S1,A,2,The ReqVerRep component shall close the OutComponent adaptation points as indicated in table \ref{tab:CR-S1-A},,
S1,A,3,The service 1 implementation of the PUS Extension of the CORDET Framework shall close or override the InLoader and InCommand adaptation points listed in table \ref{tab:AP-S1},,
S1,S,4,The PUS Extension of the CORDET Framework shall maintain and make accessible through the data pool the observables listed in table \ref{tab:Obs-S1},,
S1,S,5,The PUS Extension of the CORDET Framework shall support the service 1 failure codes listed in table \ref{tab:reqVerFailCodes},,
S1,C,6,"If an application performs a verification check for a command and the check fails, it shall update the Verification Failure Data in the data pool with either zero or with a command-specific failure data item",,
S1,C,7,Applications shall be responsible for configuring the OutRegistry component to selectively disable failure verification reports which they do not need,,
S3,S,1,The PUS Extension of the CORDET Framework shall implement a Report Definition List (RDL) consisting of HK\_N\_REP\_DEF Report Definitions with the fields defined in table \ref{tab:repDefDataStruct},,
S3,S,2,The PUS Extension of the CORDET Framework shall implement HK\_N\_SAMPLE\_BUF Sampling Buffers capable of holding the values of the super-commutated data items for a given housekeeping/diagnostic report,,
S3,S,3,The PUS Extension of the CORDET Framework shall provide a Sampling Buffer Configuration Function to configure a sampling buffer for a given report,,
S3,S,4,The PUS Extension of the CORDET Framework shall provide a Sampling Buffer Setter Function to load a data item value in a sampling buffer,,
S3,S,5,The PUS Extension of the CORDET Framework shall provide a Sampling Buffer Getter Function to retrieve a data item value from a sampling buffer,,
S3,C,6,Application shall be responsible for loading a sampling buffer with the values of super-commutated data items,,
S3,S,7,"The PUS Extension of the CORDET Framework shall provide, as an extension of the InCommand, a hkCreateCmd component to encapsulate a (3,1) or (3,2) command",,
S3,S,8,"The PUS Extension of the CORDET Framework shall provide, as an extension of the InCommand, a hkDeleteCmd component to encapsulate a (3,3) or (3,4) command",,
S3,S,9,"The PUS Extension of the CORDET Framework shall provide, as an extension of the InCommand, a hkEnableCmd component to encapsulate a (3,5) or (3,7) command",,
S3,S,10,"The PUS Extension of the CORDET Framework shall provide, as an extension of the InCommand, a hkDisableCmd component to encapsulate a (3,6) or (3,8) command",,
S3,S,11,"The PUS Extension of the CORDET Framework shall provide, as an extension of the InCommand, a hkRepStructCmd component to encapsulate a (3,9) or (3,11) command",,
S3,S,12,"The PUS Extension of the CORDET Framework shall provide, as an extension of the OutComponent, a hkRepStructRep component to encapsulate a (3,10) or (3,12) report",,
S3,S,13,"The PUS Extension of the CORDET Framework shall provide, as an extension of the OutComponent, a hkRep component to encapsulate a periodic (3,25) or (3,26) report",,
S3,S,14,"The PUS Extension of the CORDET Framework shall provide, as an extension of the OutComponent, a hkRepOneShot component to encapsulate a one-shot (3,25) or (3,26) report",,
