ID|Title|SpecificationStep|Sect|ImplementationStep
1|Identify Target Application|Identify the application for which the framework is being instantiated. ||The Application Identifier is specified in \texttt{CrFwUserConstants.h}.
2|Identify Service Users |Identify the users of the services provided by the target application. Each service user is identified through its Application Identifier.  ||The service user identifiers are used to define the sources of incoming commands (InCommands) for the application in \texttt{CrFwInStreamUserPar.h} and the destination of out-going reports (OutCompnents) in \texttt{CrFwOutStreamUserPar.h}.
3|Identify Service Providers |Identify the providers of the services used by the target application. Each service provider is identified through its Application Identifier. ||The service provider identifiers are used to define the sources of incoming reports (InReports) for the application in \texttt{CrFwInStreamUserPar.h} and the destination of out-going commands (OutCompnents) in \texttt{CrFwOutStreamUserPar.h}.
4|Define Used Services |Define the services which are used by the target application. Each service is defined through: its identifier (the "service type"); a description of the purpose of the service; the external entity which provides the service; the commands and reports which implement the service. ||The range of services used by the application is defined in \texttt{CrFwInFactoryUserPar.h} and \texttt{CrFwOutFactoryUserPar.h}. Also, a list of services supported by the application is defined in \texttt{CrFwOutRegistryUserPar.h}.
5|Define Provided Services |Define the services which are provided by the target application. Each service is defined through: its identifier (the "service type"); a description of the purpose of the service; the external entity which uses the service; the commands and reports which implement the service.  ||The range of services provided by the application is defined in \texttt{CrFwInFactoryUserPar.h} and \texttt{CrFwOutFactoryUserPar.h}. Also, a list of services supported by the application is defined in \texttt{CrFwOutRegistryUserPar.h}.
6|Identify Re-Routing Capabilities |Define the applications to which incoming packets received must be re-routed. |\ref{sec:PcktInterface}|The re-routing information is defined in the re-routing function which is provided to the framework as a function pointer in \texttt{CrFwInLoaderUserPar.h} and for which two defaults are provided by the InLoader component. Also, re-routing contributes to the definition of InStreams and OutStreams (InStreams are required to receive re-routed packets and OutStreams are required to forward them).
7|Define Incoming Commands|For each provided service, define the commands which implement it (i.e the commands which the application must be able to receive and process) in terms of: their attributes, their acceptance and ready checks, their start action, progress action, termination action, and abort action.|\ref{sec:InCommand}|The detailed definition of the incoming commands is done in \texttt{CrFwInFactoryUserPar.h}. Also, for each command, a C-module must be provided which implements the functions encapsulating the command actions and checks. See module \texttt{CrFwInCmdSample1} for an example.
8|Define Incoming Reports |For each used service, define the reports which implement it (i.e. the reports which the application must be able to receive and process) in terms of: their attributes, their acceptance check, and their update action.  |\ref{sec:InReport}|The detailed definition of the incoming reports is done in \texttt{CrFwInFactoryUserPar.h}. Also, for each report, a C-module must be provided which implements the functions encapsulating the report actions and checks. See module \texttt{CrFwInRepSample1} for an example.
9|Define Outgoing Commands and Reports|For each provided service, define the reports which implement it and for each used service, define the commands which implement it in terms of: their attributes, their enable check, and their ready, and repeat check and their update action.|\ref{sec:OutComponent}|The detailed definition of the out-going commands and reports is done in \texttt{CrFwOutFactoryUserPar.h}. Also, for out-going reports or commands which do not use the default implementations of the OutComponent adaptation points, a C-module must be provided which implements the functions encapsulating the report or command actions and checks. See module \texttt{CrFwOutCmpSample1} for an example.
10|Assign Commands and Reports to Groups|Define command and report groups and define rules for assigning commands and reports to groups.||The definition of the assignment rules is done in the implementation of the getter and setter functions for the group attribute in module \texttt{CrFwPckt}. 
11|Define Command and Report Layout|For each command and report which can be either generated or received by the target application, define the layout of the packet which carries it.|\ref{sec:PcktImpl}|The packet layout is implicitly implemented in the setter and getter functions of the \texttt{CrFwPckt.h} interface. The application developer must provide a complete implementation for this interface. A stub implementation is provided in the configuration directory \texttt{/cr/src/crConfigTestSuite}.
